s1,s2,alpha,pixels,ang_width,num_r,num_theta,y_plus,y_minus,min_source_radius,max_source_radius
1/0.2,0.6,180,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1.0,0,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1.0,45,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1.0,90,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1.0,135,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1.0,180,5000,0.2,1863356,465839,1.076998541722714,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.6,0,5000,0.2,1860536,465134,1.0768492504112517,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.6,45,5000,0.2,1860536,465134,1.0768492504112517,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.6,90,5000,0.2,1860536,465134,1.0768492504112517,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.6,135,5000,0.2,1860536,465134,1.0768492504112517,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.6,180,5000,0.2,1860536,465134,1.0768492504112517,0.9280079649592099,5.2734374999999986e-05,0.005273437499999999
1/0.2,1/0.2,0,5000,0.2,1859284,464821,1.076849123448966,0.9280079649592099,8.680555555555567e-06,0.0008680555555555568
1/0.2,1/0.2,45,5000,0.2,1859284,464821,1.076849123448966,0.9280079649592099,8.680555555555567e-06,0.0008680555555555568
1/0.2,1/0.2,90,5000,0.2,1859284,464821,1.076849123448966,0.9280079649592099,8.680555555555567e-06,0.0008680555555555568
1/0.2,1/0.2,135,5000,0.2,1859284,464821,1.076849123448966,0.9280079649592099,8.680555555555567e-06,0.0008680555555555568
1/0.2,1/0.2,180,5000,0.2,1859284,464821,1.076849123448966,0.9280079649592099,8.680555555555567e-06,0.0008680555555555568
